mid,pais,country
201,Albania,Albania
202,Andorra,Andorra
203,Austria,Austria
204,Portugal,Portugal
205,Bélgica,Belgium
206,Bielorrusia,Belarus
207,Bulgaria,Bulgaria
208,Ciudad del Vaticano,Vatican City
209,Chipre,Cyprus
210,Chipre,Cyprus
211,Alemania,Germany
212,Chipre,Cyprus
213,Georgia,Georgia
214,Moldova,Moldova
215,Malta,Malta
